Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,class
2,1,1,1,-1,-1,3,0,0,0,0,-1,3,-1
1,1,3,2,9,2,3,5,2,0,0,-1,0,3
2,1,1,2,22,5,3,0,0,0,0,-1,9,1
2,1,2,2,61,9,3,0,0,1,0,-1,9,1
2,1,1,1,16,4,3,0,0,0,0,-1,1,1
1,2,3,2,52,8,3,5,3,0,0,-1,0,1
2,2,2,2,13,3,3,0,0,1,0,-1,9,1
2,1,1,2,48,8,3,0,0,0,0,-1,9,2
2,1,1,1,16,4,3,0,0,0,0,-1,1,1
1,2,2,2,17,4,3,0,0,1,0,-1,9,2
2,6,2,2,10,2,3,0,0,2,0,-1,9,1
2,1,1,2,55,8,3,0,0,0,0,-1,9,1
1,1,2,2,70,10,3,0,0,1,0,-1,9,3
2,2,2,1,82,11,3,0,0,2,0,-1,9,-1
1,1,1,2,19,4,3,0,0,0,0,-1,9,-1
1,1,3,1,30,6,3,8,8,0,0,-1,0,1
1,1,2,2,-1,-1,3,0,0,0,3,-1,11,1
1,2,1,1,37,7,2,0,0,0,0,-1,4,1
2,1,1,2,30,6,3,0,0,0,0,-1,9,-1
1,3,2,1,13,3,2,0,0,2,0,-1,9,1
1,1,1,2,25,5,3,0,0,0,0,-1,9,2
1,1,1,1,24,5,3,0,0,0,0,-1,9,-1
1,1,2,2,32,6,3,0,0,1,0,-1,9,3
2,2,2,2,22,5,3,0,0,1,0,-1,9,-1
2,2,1,1,59,9,3,0,0,0,0,-1,19,1
1,1,3,2,56,9,3,1,3,0,0,-1,0,1
2,1,1,1,38,7,3,0,0,0,0,-1,2,-1
1,1,1,1,50,8,3,0,0,0,0,-1,90,3
1,1,3,2,23,5,3,9,5,0,0,-1,0,-1
1,1,1,1,17,4,2,0,0,0,0,-1,3,-1
1,1,3,2,14,3,3,4,4,0,0,-1,0,1
2,2,1,2,46,8,3,0,0,0,0,-1,9,3
2,2,1,1,75,10,3,0,0,0,0,-1,9,1
2,1,1,2,18,4,3,0,0,0,0,-1,9,1
2,1,1,1,28,6,3,0,0,0,0,-1,9,1
1,4,2,1,17,4,3,0,0,2,0,-1,9,1
1,1,3,1,26,6,3,5,1,0,0,-1,0,1
2,1,1,2,35,6,3,0,0,0,0,-1,9,1
1,1,3,1,3,1,2,10,5,0,0,-1,0,1
2,1,1,2,21,5,3,0,0,0,0,-1,9,1
2,2,2,2,14,3,3,0,0,0,0,-1,5,1
2,1,1,2,32,6,3,0,0,0,0,-1,9,1
1,1,1,1,53,8,3,0,0,0,0,-1,8,1
2,3,2,1,8,2,3,0,0,2,0,-1,9,1
1,1,2,2,17,4,2,0,0,2,0,-1,9,1
2,1,1,1,37,7,2,0,0,0,0,-1,1,1
2,1,1,1,11,3,3,0,0,0,0,-1,1,-1
2,1,1,1,65,9,3,0,0,0,0,-1,9,1
1,1,3,2,20,4,2,5,3,0,0,-1,0,1
1,1,3,1,38,7,3,9,5,0,0,-1,0,3
3,1,2,2,-1,-1,3,0,0,1,0,-1,19,-1
2,1,1,2,53,8,3,0,0,0,0,-1,9,1
2,2,2,2,51,8,3,0,0,1,0,-1,9,1
1,2,2,1,28,6,3,0,0,1,0,-1,9,-1
